,Acessibilidade da parada,Latitude,Longitude
parada_Rua_Vivaldo_Dantas_de_Farias_Ida0,4619795,-5.172079042967689,-37.34000802040288
parada_Rua_Anderson_Dutra_Volta0,4620143,-5.195296118436376,-37.37071394919973
parada_UPA_Conchecita_Ciarlini_Ida,4621034,-5.170898332453366,-37.33863204717566
parada_Posto_Ipiranga_Aeroporto_Volta,4621976,-5.191871643473348,-37.366786524650045
parada_Delta_Gas_Ida,4634092,-5.208362109038824,-37.354824543001456
parada_Avenida_Mota_Neto_Ida0,4652533,-5.186686814091161,-37.36764550208803
parada_Capela_Santo_Expedito_Aeroporto,4661250,-5.188325609437028,-37.3683670163119
parada_BR_405_Ida1,4672941,-5.192979000000011,-37.372257
parada_Igreja_de_Sao_Francisco_de_Assis_Abolicao_Volta,4682759,-5.164487000000007,-37.359165
parada_UPA_Raimundo_Benjamin_Franco_Ida,4683050,-5.203650209941245,-37.358086109160375
parada_UPA_Raimundo_Benjamin_Franco_Volta,4684663,-5.203637000000001,-37.35816199999999
parada_Rua_Ricardo_Guilherme_de_Lima_Volta0,4686866,-5.188878551646551,-37.36720025539631
parada_Loja_Maconica_Uniao_Mossoroense,4689110,-5.196483461299527,-37.37140864133719
parada_Rua_Melo_Franco_Volta2,4697313,-5.168044049197583,-37.33367666601941
parada_Rua_Melo_Franco_Ida0,4698908,-5.16800264396616,-37.33370482921866
parada_Alameda_das_Carnaubeiras_Volta1,4715725,-5.210482986340216,-37.32008859515041
parada_Alameda_das_Carnaubeiras_Ida0,4715799,-5.210509697591811,-37.32010535896227
parada_Rua_Ricardo_Lima_Ida1,4716901,-5.186310171038623,-37.36997634172044
parada_Rua_Seis_de_Janeiro_Ida2,4745018,-5.169439804667862,-37.33773618936774
parada_Rua_Seis_de_Janeiro_Volta0,4748119,-5.169453161167292,-37.33763158321192
parada_Rua_Candido_Clementino_Barros_Ida0,4749345,-5.197458443082188,-37.36848168075124
parada_Alameda_das_Carnaubeiras_Ida1,4752512,-5.210881000000004,-37.319572
parada_Maxxi_Atacado,4754534,-5.177101044960534,-37.36814305186665
parada_Rua_Zeca_Cirilino_Ida1,4754581,-5.166936792189379,-37.333228737119946
parada_Alameda_das_Carnaubeiras_Volta0,4755014,-5.210831568128522,-37.3194991797252
parada_Avenida_Alberto_Maranhao_Norte_Volta1,4768999,-5.168934999999999,-37.330788
parada_Avenida_Alberto_Maranhao_Norte_Ida0,4772694,-5.168844104619541,-37.33080804348328
parada_West_Flat,4778081,-5.177435621077286,-37.36744098365341
parada_Cantina_azul,4779163,-5.187884858054441,-37.369278296827794
parada_Rua_Zeca_Cirilino_Ida2,4783192,-5.167731506399051,-37.33206197619538
parada_Rua_Zeca_Cirilino_Volta0,4783550,-5.167695499999992,-37.332016
parada_UBS_Joaquim_Saldanha_Ida,4788290,-5.162637304245919,-37.34171256423117
parada_UBS_Joaquim_Saldanha_Volta,4795945,-5.162657300000004,-37.341595
parada_Rua_Dolores_do_Carmo_Reboucas_Ida2,4798621,-5.198743947568456,-37.3725760728092
parada_Rua_Zeca_Cirilino_Ida0,4804798,-5.166180811024095,-37.33441561460257
parada_Primeira_Igreja_Metodista_Wesleyana_Volta,4806626,-5.1687612942585766,-37.33723595738138
parada_Rua_Ricardo_Lima_Ida0,4811616,-5.187028730992483,-37.37032905220914
parada_Avenida_Rio_Branco_Norte_Volta0,4814503,-5.1650561871934695,-37.34425663947785
parada_Primeira_Igreja_Metodista_Wesleyana_Ida,4816481,-5.168619600000008,-37.33721
parada_Igreja_Assembleia_de_Deus_Avivamento_e_Milagres,4840254,-5.198563000000004,-37.368507
parada_Posto_Fan_Santo_Antonio_Ida,4861783,-5.162059000000002,-37.345974
parada_Rua_Dolores_do_Carmo_Reboucas_Ida1,4865799,-5.198265139187921,-37.37347662448515
parada_Rua_Dolores_do_Carmo_Reboucas_Volta0,4868070,-5.198204369904,-37.373452484606496
parada_Igreja_de_Sao_Francisco_de_Assis_Abolicao_Ida,4870961,-5.164331400000003,-37.359077
parada_Residencial_Celina_Guimaraes,4882606,-5.195374918536611,-37.376169562342334
parada_BR_110_Norte_Ida1,4903778,-5.193224607139332,-37.312153279782855
parada_BR_110_Norte_Volta0,4904774,-5.193291387101929,-37.31208622455338
parada_Rua_Jose_Dutra_de_Souza_Ida0,4909258,-5.166159440519853,-37.33800441026767
parada_Rua_Seis_de_Janeiro_Volta1,4916370,-5.167524480103786,-37.33645945787188
parada_Posto_BH,4920696,-5.210995842242198,-37.35633194446192
parada_Rua_Souza_Leao_Ida0,4922400,-5.206251909159402,-37.359244823452734
parada_Rua_Souza_Leao_Volta0,4925337,-5.206243,-37.359314
parada_Rua_Dolores_do_Carmo_Reboucas_Ida0,4925486,-5.197800354142351,-37.3743617534621
parada_Rua_Dolores_do_Carmo_Reboucas_Volta1,4925993,-5.197704191675999,-37.374329566951225
parada_Igreja_Mae_Rainha_Presidente_Costa_e_Silva,4927388,-5.212205859979347,-37.31769874692074
parada_Rua_Seis_de_Janeiro_Ida1,4928700,-5.167353600000003,-37.33643
parada_Forum_Desembargador_Silveira_Martins,4929968,-5.2121577798536896,-37.31762364506804
parada_Rua_Tarcisio_Correia_Volta0,4929977,-5.163576000000007,-37.357758
parada_Rua_Tarcisio_Correia_Ida0,4931274,-5.163563299999997,-37.357918
parada_IFRN_Ida,4935970,-5.212519716300032,-37.32115678489106
parada_IFRN_Volta,4935970,-5.212562,-37.32111
parada_Rua_Dolores_do_Carmo_Reboucas_Ida3,4936895,-5.199726999999999,-37.37099
parada_Rua_Dolores_do_Carmo_Reboucas_Ida4,4949502,-5.200391000000002,-37.36955999999999
parada_Avenida_Alberto_Maranhao_Sul_Volta0,4955170,-5.202985092092128,-37.351634725931056
parada_Rua_Jeronimo_Rosado_de_Souza_Ida0,4955896,-5.167553864489225,-37.33919799327863
parada_Rede_Maquinas_Lateral,4962622,-5.183171470193185,-37.36899867654047
parada_Avenida_Alberto_Maranhao_Sul_Volta1,4963575,-5.206955755102034,-37.3541164398163
parada_Posto_Fan_Santo_Antonio_Volta,4966478,-5.160958300000005,-37.34622999999999
parada_Avenida_Presidente_Costa_e_Silva_Volta0,4970524,-5.162693500000003,-37.35690699999999
parada_Rua_Tabeliao_Aoem_Menescal_Ida0,4972919,-5.165642541194855,-37.33643934130483
parada_Avenida_Presidente_Costa_e_Silva_Ida8,4977489,-5.1625543,-37.357117
parada_UNP_Ida,4978405,-5.175277000000003,-37.37034
parada_Avenida_Alberto_Maranhao_Sul_Ida2,4980976,-5.209923385277251,-37.35584780573998
parada_Locavelthe,4996462,-5.209857000000006,-37.33352
parada_Rua_Ricardo_Guilherme_de_Lima_Volta1,4999423,-5.187569653841647,-37.36990526318834
parada_Delta_Gas_Volta,5000203,-5.208247250241188,-37.3549237847328
parada_Residencial_Celina_Guimaraes_Lateral_Ida1,5009449,-5.197210023202879,-37.37547487020488
parada_Residencial_Celina_Guimaraes_Lateral_Volta0,5009684,-5.197132558922673,-37.37544536590176
parada_Praca_do_Bicicross_Ida,5023654,-5.213138079566377,-37.318695187572864
parada_Praca_do_Bicicross_Volta,5025718,-5.213217999999996,-37.31871799999999
parada_Rua_Seis_de_Janeiro_Volta2,5030895,-5.1662050000000095,-37.335728
parada_EM_Raimunda_Nogueira_do_Couto_Ida,5031520,-5.164624769208839,-37.33875676989853
parada_Avenida_Presidente_Costa_e_Silva_Volta1,5037448,-5.161727400000002,-37.357628
parada_Granero_Transportes,5039322,-5.183606882398824,-37.36809343099648
parada_Avenida_Presidente_Costa_e_Silva_Ida7,5041713,-5.161728000000002,-37.35776
parada_ASSUFERSA_Ida,5043504,-5.213036000000006,-37.316444
